Country,1990,1990_lower, 1990_upper, 1990_Footnote, 1991,1991_lower, 1991_upper, 1991_Footnote, 1992,1992_lower, 1992_upper, 1992_Footnote, 1993,1993_lower, 1993_upper, 1993_Footnote, 1994,1994_lower, 1994_upper, 1994_Footnote, 1995,1995_lower, 1995_upper, 1995_Footnote, 1996,1996_lower, 1996_upper, 1996_Footnote, 1997,1997_lower, 1997_upper, 1997_Footnote, 1998,1998_lower, 1998_upper, 1998_Footnote, 1999,1999_lower, 1999_upper, 1999_Footnote, 2000,2000_lower, 2000_upper, 2000_Footnote, 2001,2001_lower, 2001_upper, 2001_Footnote, 2002,2002_lower, 2002_upper, 2002_Footnote, 2003,2003_lower, 2003_upper, 2003_Footnote, 2004,2004_lower, 2004_upper, 2004_Footnote, 2005,2005_lower, 2005_upper, 2005_Footnote, 2006,2006_lower, 2006_upper, 2006_Footnote, 2007,2007_lower, 2007_upper, 2007_Footnote, 2008,2008_lower, 2008_upper, 2008_Footnote, 2009,2009_lower, 2009_upper, 2009_Footnote, 2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote
Côte d'Ivoire,10.92 ,7.63 , 15.39,,12.12 ,8.76 , 15.81,,12.65 ,10.01 , 15.40,,12.66 ,10.50 , 15.62,,12.16 ,10.20 , 14.93,,11.26 ,9.41 , 14.37,,9.54 ,7.91 , 12.24,,8.64 ,7.22 , 11.24,,7.25 ,6.03 , 9.25,,6.19 ,5.28 , 7.94,,5.46 ,4.67 , 6.76,,4.78 ,4.05 , 5.89,,4.14 ,3.50 , 5.12,,3.65 ,3.06 , 4.54,,3.28 ,2.73 , 4.17,,2.92 ,2.39 , 3.75,,2.58 ,2.08 , 3.32,,2.40 ,1.87 , 3.10,,2.14 ,1.68 , 2.77,,1.97 ,1.53 , 2.55,,1.68 ,1.31 , 2.19,,1.48 ,1.15 , 1.96,,1.30 ,1.00 , 1.72,,1.14 ,0.86 , 1.53,,1.02 ,0.76 , 1.37,,0.90 ,0.66 , 1.22,,0.79 ,0.57 , 1.07,,0.66 ,0.46 , 0.93,,0.53 ,0.36 , 0.78,,0.44 ,0.28 , 0.67,,0.37 ,0.23 , 0.57,
Democratic People's Republic of Korea,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Democratic Republic of the Congo,2.44 ,2.08 , 2.80,,2.49 ,2.11 , 2.85,,2.48 ,2.09 , 2.81,,2.39 ,2.02 , 2.78,,2.23 ,1.88 , 2.56,,2.08 ,1.72 , 2.42,,1.93 ,1.61 , 2.29,,1.77 ,1.46 , 2.10,,1.58 ,1.31 , 1.88,,1.47 ,1.22 , 1.75,,1.35 ,1.10 , 1.61,,1.26 ,1.04 , 1.51,,1.18 ,0.98 , 1.41,,1.07 ,0.88 , 1.28,,1.00 ,0.82 , 1.20,,0.94 ,0.77 , 1.13,,0.87 ,0.71 , 1.05,,0.81 ,0.66 , 0.98,,0.77 ,0.62 , 0.93,,0.70 ,0.57 , 0.85,,0.66 ,0.52 , 0.79,,0.61 ,0.49 , 0.75,,0.57 ,0.45 , 0.70,,0.53 ,0.41 , 0.66,,0.49 ,0.38 , 0.63,,0.46 ,0.34 , 0.59,,0.42 ,0.31 , 0.55,,0.38 ,0.27 , 0.52,,0.32 ,0.22 , 0.46,,0.27 ,0.18 , 0.41,,0.21 ,0.13 , 0.34,
Denmark,0.11 ,0.09 , 0.12,"Children estimates were not available at the time of publication.",0.12 ,0.10 , 0.13,"Children estimates were not available at the time of publication.",0.12 ,0.11 , 0.14,"Children estimates were not available at the time of publication.",0.12 ,0.10 , 0.14,"Children estimates were not available at the time of publication.",0.12 ,0.10 , 0.14,"Children estimates were not available at the time of publication.",0.11 ,0.10 , 0.13,"Children estimates were not available at the time of publication.",0.11 ,0.09 , 0.12,"Children estimates were not available at the time of publication.",0.10 ,0.08 , 0.12,"Children estimates were not available at the time of publication.",0.09 ,0.08 , 0.11,"Children estimates were not available at the time of publication.",0.09 ,0.07 , 0.10,"Children estimates were not available at the time of publication.",0.09 ,0.07 , 0.10,"Children estimates were not available at the time of publication.",0.08 ,0.07 , 0.10,"Children estimates were not available at the time of publication.",0.08 ,0.06 , 0.10,"Children estimates were not available at the time of publication.",0.08 ,0.06 , 0.10,"Children estimates were not available at the time of publication.",0.08 ,0.06 , 0.09,"Children estimates were not available at the time of publication.",0.08 ,0.06 , 0.09,"Children estimates were not available at the time of publication.",0.08 ,0.06 , 0.10,"Children estimates were not available at the time of publication.",0.08 ,0.06 , 0.10,"Children estimates were not available at the time of publication.",0.08 ,0.06 , 0.10,"Children estimates were not available at the time of publication.",0.08 ,0.06 , 0.10,"Children estimates were not available at the time of publication.",0.08 ,0.06 , 0.10,"Children estimates were not available at the time of publication.",0.08 ,0.06 , 0.10,"Children estimates were not available at the time of publication.",0.08 ,0.06 , 0.10,"Children estimates were not available at the time of publication.",0.07 ,0.05 , 0.09,"Children estimates were not available at the time of publication.",0.07 ,0.05 , 0.09,"Children estimates were not available at the time of publication.",0.07 ,0.05 , 0.09,"Children estimates were not available at the time of publication.",0.06 ,0.04 , 0.08,"Children estimates were not available at the time of publication.",0.06 ,0.04 , 0.08,"Children estimates were not available at the time of publication.",0.05 ,0.03 , 0.08,"Children estimates were not available at the time of publication.",0.05 ,0.03 , 0.08,"Children estimates were not available at the time of publication.",0.04 ,0.02 , 0.08,"Children estimates were not available at the time of publication."
Djibouti,0.42 ,0.05 , 1.89,,0.78 ,0.11 , 3.13,,1.32 ,0.21 , 4.27,,2.13 ,0.36 , 6.21,,3.28 ,0.62 , 8.80,,4.75 ,1.08 , 11.38,,6.04 ,1.57 , 12.28,,7.12 ,2.43 , 12.39,,7.04 ,3.42 , 11.49,,5.59 ,2.05 , 10.69,,4.31 ,1.39 , 10.46,,3.03 ,1.09 , 9.71,,2.35 ,1.03 , 8.79,,1.32 ,0.64 , 3.64,,1.03 ,0.49 , 1.85,,0.87 ,0.44 , 1.48,,0.75 ,0.38 , 1.23,,0.71 ,0.36 , 1.16,,0.61 ,0.29 , 1.00,,0.54 ,0.26 , 0.92,,0.49 ,0.23 , 0.84,,0.43 ,0.19 , 0.73,,0.38 ,0.17 , 0.66,,0.34 ,0.15 , 0.61,,0.30 ,0.12 , 0.53,,0.26 ,0.10 , 0.46,,0.22 ,0.08 , 0.40,,0.19 ,0.07 , 0.36,,0.17 ,0.06 , 0.32,,0.15 ,0.05 , 0.29,,0.15 ,0.05 , 0.27,
Dominican Republic,1.83 ,1.31 , 2.80,,2.26 ,1.66 , 3.37,,2.65 ,1.94 , 3.71,,2.95 ,2.19 , 4.13,,2.89 ,2.15 , 4.03,,2.80 ,2.09 , 3.96,,2.66 ,1.97 , 3.82,,2.57 ,1.86 , 3.59,,2.36 ,1.72 , 3.32,,2.14 ,1.53 , 3.02,,1.84 ,1.34 , 2.65,,1.58 ,1.14 , 2.30,,1.37 ,0.97 , 2.00,,1.18 ,0.84 , 1.75,,1.01 ,0.69 , 1.53,,0.91 ,0.62 , 1.41,,0.79 ,0.54 , 1.24,,0.70 ,0.48 , 1.06,,0.69 ,0.48 , 1.02,,0.64 ,0.45 , 0.90,,0.62 ,0.44 , 0.85,,0.61 ,0.44 , 0.82,,0.59 ,0.42 , 0.81,,0.59 ,0.41 , 0.80,,0.59 ,0.39 , 0.80,,0.58 ,0.36 , 0.79,,0.58 ,0.34 , 0.79,,0.58 ,0.33 , 0.80,,0.57 ,0.32 , 0.79,,0.56 ,0.31 , 0.79,,0.55 ,0.29 , 0.78,
Ecuador,0.20 ,0.03 , 0.83,,0.23 ,0.05 , 1.06,,0.26 ,0.07 , 0.95,,0.29 ,0.11 , 0.86,,0.31 ,0.15 , 0.75,,0.33 ,0.19 , 0.78,,0.34 ,0.19 , 0.82,,0.35 ,0.21 , 0.75,,0.35 ,0.23 , 0.69,,0.36 ,0.23 , 0.64,,0.36 ,0.24 , 0.62,,0.37 ,0.23 , 0.59,,0.37 ,0.24 , 0.59,,0.38 ,0.25 , 0.61,,0.38 ,0.26 , 0.64,,0.36 ,0.24 , 0.62,,0.30 ,0.20 , 0.52,,0.30 ,0.20 , 0.53,,0.28 ,0.18 , 0.49,,0.28 ,0.18 , 0.48,,0.29 ,0.18 , 0.48,,0.28 ,0.17 , 0.46,,0.27 ,0.16 , 0.45,,0.27 ,0.16 , 0.43,,0.27 ,0.17 , 0.42,,0.26 ,0.16 , 0.42,,0.25 ,0.15 , 0.42,,0.24 ,0.14 , 0.42,,0.23 ,0.14 , 0.41,,0.22 ,0.12 , 0.41,,0.20 ,0.11 , 0.42,
Egypt,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , 0.01,,<0.01 ,<0.01 , 0.01,,0.01 ,<0.01 , 0.01,,0.01 ,0.01 , 0.01,,0.01 ,0.01 , 0.02,,0.02 ,0.01 , 0.02,,0.02 ,0.02 , 0.02,,0.02 ,0.02 , 0.02,,0.02 ,0.02 , 0.03,,0.03 ,0.03 , 0.03,,0.03 ,0.03 , 0.03,,0.03 ,0.03 , 0.04,,0.04 ,0.04 , 0.04,,0.04 ,0.04 , 0.05,,0.05 ,0.05 , 0.05,,0.05 ,0.05 , 0.06,,0.05 ,0.05 , 0.06,,0.06 ,0.05 , 0.07,
El Salvador,0.13 ,0.10 , 0.18,,0.18 ,0.15 , 0.25,,0.25 ,0.21 , 0.31,,0.31 ,0.27 , 0.37,,0.38 ,0.34 , 0.44,,0.44 ,0.40 , 0.50,,0.49 ,0.45 , 0.55,,0.53 ,0.49 , 0.58,,0.56 ,0.52 , 0.61,,0.57 ,0.53 , 0.62,,0.58 ,0.54 , 0.63,,0.59 ,0.54 , 0.63,,0.59 ,0.53 , 0.62,,0.58 ,0.52 , 0.61,,0.58 ,0.51 , 0.61,,0.56 ,0.50 , 0.60,,0.55 ,0.49 , 0.58,,0.52 ,0.47 , 0.56,,0.50 ,0.46 , 0.53,,0.48 ,0.43 , 0.51,,0.45 ,0.41 , 0.48,,0.43 ,0.39 , 0.46,,0.40 ,0.37 , 0.44,,0.38 ,0.34 , 0.41,,0.35 ,0.32 , 0.39,,0.33 ,0.29 , 0.36,,0.31 ,0.26 , 0.34,,0.28 ,0.24 , 0.33,,0.26 ,0.21 , 0.31,,0.24 ,0.18 , 0.29,,0.22 ,0.15 , 0.28,
Equatorial Guinea,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,
Eritrea,2.23 ,1.01 , 3.51,,2.62 ,1.33 , 3.77,,2.73 ,1.69 , 3.72,,2.86 ,1.95 , 3.88,,2.75 ,1.99 , 3.63,,2.54 ,1.84 , 3.36,,2.25 ,1.58 , 3.03,,1.94 ,1.34 , 2.64,,1.67 ,1.19 , 2.30,,1.30 ,0.90 , 1.79,,1.03 ,0.72 , 1.48,,0.91 ,0.63 , 1.26,,0.80 ,0.56 , 1.12,,0.71 ,0.49 , 1.00,,0.63 ,0.44 , 0.92,,0.57 ,0.38 , 0.82,,0.51 ,0.33 , 0.77,,0.45 ,0.29 , 0.70,,0.41 ,0.26 , 0.64,,0.37 ,0.22 , 0.60,,0.33 ,0.20 , 0.55,,0.30 ,0.17 , 0.52,,0.26 ,0.14 , 0.47,,0.23 ,0.12 , 0.44,,0.20 ,0.09 , 0.39,,0.18 ,0.08 , 0.35,,0.15 ,0.07 , 0.31,,0.14 ,0.06 , 0.29,,0.12 ,0.06 , 0.27,,0.11 ,0.05 , 0.25,,0.10 ,0.04 , 0.24,
Estonia,<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",0.43 ,0.23 , 0.60,"Children estimates were not available at the time of publication.",1.59 ,1.34 , 1.84,"Children estimates were not available at the time of publication.",1.31 ,1.19 , 1.42,"Children estimates were not available at the time of publication.",1.08 ,1.00 , 1.19,"Children estimates were not available at the time of publication.",0.90 ,0.81 , 1.01,"Children estimates were not available at the time of publication.",0.77 ,0.66 , 0.87,"Children estimates were not available at the time of publication.",0.66 ,0.57 , 0.76,"Children estimates were not available at the time of publication.",0.58 ,0.51 , 0.67,"Children estimates were not available at the time of publication.",0.52 ,0.47 , 0.59,"Children estimates were not available at the time of publication.",0.48 ,0.42 , 0.53,"Children estimates were not available at the time of publication.",0.44 ,0.40 , 0.49,"Children estimates were not available at the time of publication.",0.41 ,0.37 , 0.46,"Children estimates were not available at the time of publication.",0.39 ,0.35 , 0.45,"Children estimates were not available at the time of publication.",0.38 ,0.33 , 0.44,"Children estimates were not available at the time of publication.",0.37 ,0.32 , 0.44,"Children estimates were not available at the time of publication.",0.36 ,0.30 , 0.43,"Children estimates were not available at the time of publication.",0.35 ,0.29 , 0.44,"Children estimates were not available at the time of publication.",0.34 ,0.28 , 0.44,"Children estimates were not available at the time of publication.",0.34 ,0.27 , 0.44,"Children estimates were not available at the time of publication.",0.34 ,0.25 , 0.44,"Children estimates were not available at the time of publication.",0.33 ,0.25 , 0.43,"Children estimates were not available at the time of publication."
Eswatini,6.28 ,4.71 , 8.53,,11.60 ,8.75 , 15.59,,19.34 ,14.99 , 25.21,,28.72 ,22.84 , 36.02,,36.85 ,30.49 , 43.98,,41.92 ,35.81 , 47.58,,43.95 ,38.58 , 48.92,,42.80 ,38.36 , 47.18,,40.69 ,36.54 , 44.53,,37.85 ,34.15 , 41.22,,35.40 ,32.12 , 38.57,,33.79 ,30.93 , 36.64,,32.47 ,29.62 , 35.13,,31.41 ,28.73 , 34.01,,31.07 ,28.55 , 33.51,,30.74 ,28.23 , 33.30,,30.35 ,27.67 , 32.95,,29.78 ,26.98 , 32.49,,29.50 ,26.55 , 32.62,,29.28 ,26.46 , 32.46,,28.97 ,26.12 , 32.36,,27.70 ,24.85 , 30.97,,27.46 ,24.50 , 30.94,,27.17 ,24.06 , 30.70,,26.05 ,23.24 , 29.56,,23.30 ,20.54 , 26.65,,20.23 ,17.53 , 23.43,,16.80 ,14.35 , 19.92,,13.48 ,11.10 , 16.40,,11.96 ,9.72 , 14.82,,10.21 ,8.34 , 12.61,
Ethiopia,4.84 ,2.33 , 9.07,,5.27 ,2.53 , 9.88,,5.33 ,2.56 , 9.99,,4.98 ,2.40 , 9.35,,4.38 ,2.11 , 8.21,,3.67 ,1.76 , 6.88,,3.00 ,1.44 , 5.62,,2.54 ,1.22 , 4.77,,2.08 ,1.00 , 3.90,,1.84 ,0.88 , 3.45,,1.63 ,0.78 , 3.05,,1.37 ,0.66 , 2.56,,1.19 ,0.57 , 2.23,,1.05 ,0.50 , 1.97,,0.95 ,0.46 , 1.78,,0.88 ,0.42 , 1.65,,0.78 ,0.38 , 1.47,,0.70 ,0.34 , 1.32,,0.61 ,0.29 , 1.14,,0.56 ,0.27 , 1.05,,0.50 ,0.24 , 0.94,,0.45 ,0.22 , 0.84,,0.41 ,0.19 , 0.76,,0.35 ,0.17 , 0.65,,0.32 ,0.16 , 0.61,,0.29 ,0.14 , 0.55,,0.26 ,0.13 , 0.49,,0.23 ,0.11 , 0.43,,0.21 ,0.10 , 0.39,,0.19 ,0.09 , 0.36,,0.17 ,0.08 , 0.33,
Fiji,0.02 ,0.01 , 0.04,,0.02 ,0.01 , 0.03,,0.02 ,0.02 , 0.04,,0.03 ,0.02 , 0.06,,0.03 ,0.02 , 0.08,,0.03 ,0.02 , 0.14,,0.03 ,0.02 , 0.20,,0.04 ,0.03 , 0.26,,0.04 ,0.03 , 0.27,,0.04 ,0.03 , 0.33,,0.05 ,0.03 , 0.36,,0.05 ,0.04 , 0.31,,0.06 ,0.04 , 0.32,,0.07 ,0.05 , 0.29,,0.08 ,0.06 , 0.20,,0.09 ,0.06 , 0.15,,0.10 ,0.07 , 0.15,,0.10 ,0.07 , 0.17,,0.11 ,0.08 , 0.19,,0.12 ,0.08 , 0.21,,0.13 ,0.09 , 0.25,,0.15 ,0.10 , 0.28,,0.16 ,0.10 , 0.31,,0.17 ,0.10 , 0.35,,0.18 ,0.10 , 0.38,,0.20 ,0.11 , 0.43,,0.21 ,0.12 , 0.49,,0.23 ,0.12 , 0.55,,0.25 ,0.12 , 0.60,,0.27 ,0.12 , 0.65,,0.28 ,0.12 , 0.70,
Finland,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
France,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Gabon,3.50 ,1.85 , 6.64,,4.54 ,2.39 , 8.18,,5.66 ,3.08 , 10.15,,6.79 ,3.87 , 11.59,,7.96 ,4.87 , 12.62,,8.96 ,5.46 , 14.08,,9.38 ,6.11 , 14.53,,8.88 ,6.08 , 12.89,,8.35 ,5.89 , 11.51,,7.29 ,5.05 , 10.08,,6.31 ,4.60 , 8.87,,5.35 ,3.98 , 7.40,,4.76 ,3.51 , 6.34,,4.02 ,3.03 , 5.20,,3.59 ,2.77 , 4.76,,3.42 ,2.59 , 4.52,,2.90 ,2.15 , 3.83,,2.69 ,2.00 , 3.59,,2.52 ,1.87 , 3.46,,2.53 ,1.84 , 3.50,,2.16 ,1.51 , 3.04,,1.99 ,1.38 , 2.87,,1.81 ,1.20 , 2.68,,1.60 ,1.01 , 2.43,,1.38 ,0.84 , 2.17,,1.23 ,0.73 , 2.06,,1.02 ,0.57 , 1.77,,0.85 ,0.44 , 1.50,,0.71 ,0.35 , 1.35,,0.63 ,0.29 , 1.29,,0.67 ,0.31 , 1.39,
Gambia,0.46 ,0.24 , 0.85,,0.67 ,0.38 , 1.13,,0.92 ,0.57 , 1.47,,1.27 ,0.84 , 1.89,,1.62 ,1.11 , 2.23,,2.02 ,1.43 , 2.71,,2.33 ,1.62 , 3.06,,2.66 ,1.86 , 3.53,,2.94 ,2.07 , 3.92,,3.10 ,2.21 , 4.15,,3.00 ,2.24 , 3.90,,2.96 ,2.29 , 3.72,,2.82 ,2.23 , 3.54,,2.64 ,2.10 , 3.28,,2.49 ,1.99 , 3.11,,2.37 ,1.89 , 2.96,,2.27 ,1.78 , 2.84,,2.22 ,1.76 , 2.79,,2.22 ,1.72 , 2.81,,2.06 ,1.61 , 2.62,,2.05 ,1.63 , 2.60,,1.95 ,1.54 , 2.50,,1.84 ,1.41 , 2.39,,1.78 ,1.35 , 2.37,,1.76 ,1.31 , 2.36,,1.72 ,1.26 , 2.38,,1.68 ,1.20 , 2.41,,1.62 ,1.12 , 2.42,,1.56 ,1.07 , 2.42,,1.51 ,1.00 , 2.45,,1.47 ,0.91 , 2.46,
Georgia,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,0.01 ,<0.01 , 0.01,,0.02 ,0.01 , 0.03,,0.04 ,0.02 , 0.05,,0.06 ,0.05 , 0.07,,0.08 ,0.07 , 0.10,,0.11 ,0.09 , 0.13,,0.13 ,0.11 , 0.15,,0.15 ,0.13 , 0.17,,0.16 ,0.15 , 0.19,,0.18 ,0.17 , 0.20,,0.20 ,0.19 , 0.21,,0.22 ,0.20 , 0.23,,0.24 ,0.22 , 0.26,,0.26 ,0.23 , 0.27,,0.26 ,0.23 , 0.28,,0.27 ,0.24 , 0.30,,0.28 ,0.24 , 0.31,,0.29 ,0.24 , 0.32,,0.29 ,0.23 , 0.33,,0.30 ,0.23 , 0.35,,0.31 ,0.23 , 0.37,,0.32 ,0.23 , 0.39,
